threshold,precision,recall,f1,youden_j,roc_dist_to_top_left,tp,fp,tn,fn
0.0,0.07777777777777778,1.0,0.14432989690721648,0.0,1.0,35,415,0,0
0.01,0.08009153318077804,1.0,0.1483050847457627,0.031325301204819356,0.9518072289156626,35,402,13,0
0.02,0.08292682926829269,0.9714285714285714,0.15280898876404495,0.06540447504302915,0.9522359621158638,34,376,39,1
0.03,0.08877284595300261,0.9714285714285714,0.16267942583732056,0.13046471600688458,0.8390408221039236,34,349,66,1
0.04,0.09037900874635568,0.8857142857142857,0.164021164021164,0.13390705679862291,0.8128931622883402,31,312,103,4
0.05,0.0932475884244373,0.8285714285714286,0.1676300578034682,0.149053356282272,0.700808508559658,29,282,133,6
0.06,0.08865248226950355,0.7142857142857143,0.15772870662460567,0.09500860585197923,0.6705420091311504,25,257,158,10
0.07,0.08433734939759036,0.6,0.14788732394366197,0.050602409638554224,0.6854437009766692,21,228,187,14
0.08,0.09722222222222222,0.6,0.16733067729083664,0.13012048192771086,0.5742679802722042,21,195,220,14
0.09,0.10326086956521739,0.5428571428571428,0.1735159817351598,0.14526678141135974,0.6027011834468818,19,165,250,16
0.1,0.09032258064516129,0.4,0.14736842105263157,0.06024096385542155,0.6992188163326695,14,141,274,21
0.11,0.10483870967741936,0.37142857142857144,0.16352201257861634,0.10395869191049911,0.694943472825629,13,111,304,22
0.12,0.11458333333333333,0.3142857142857143,0.16793893129770993,0.10946643717728044,0.7191909211917213,11,85,330,24
0.13,0.11688311688311688,0.2571428571428571,0.16071428571428573,0.09328743545611018,0.7617662953344172,9,68,347,26
0.14,0.12121212121212122,0.22857142857142856,0.15841584158415842,0.08881239242685024,0.7848598151768331,8,58,357,27
0.15,0.12727272727272726,0.2,0.15555555555555556,0.0843373493975903,0.8086662262433656,7,48,367,28
0.16,0.13953488372093023,0.17142857142857143,0.15384615384615385,0.0822719449225473,0.8331000253052504,6,37,378,29
0.17,0.10526315789473684,0.11428571428571428,0.1095890410958904,0.032358003442340744,0.8894953320408167,4,34,381,31
0.18,0.1,0.08571428571428572,0.09230769230769231,0.0206540447504302,0.916597622897427,3,27,388,32
0.19,0.045454545454545456,0.02857142857142857,0.03508771929824561,-0.022030981067125643,0.9731484632746685,1,21,394,34
0.2,0.058823529411764705,0.02857142857142857,0.038461538461538464,-0.009982788296041267,0.9731484632746685,1,16,399,34
0.21,0.07142857142857142,0.02857142857142857,0.04081632653061224,-0.002753872633390664,0.9731484632746685,1,13,402,34
0.22,0.1,0.02857142857142857,0.044444444444444446,0.0068846815834766595,0.9731484632746685,1,9,406,34
0.23,0.2,0.02857142857142857,0.05,0.018932874354561147,0.9714315599905724,1,4,411,34
0.24,0.25,0.02857142857142857,0.05128205128205128,0.021342512908777866,0.9714315599905724,1,3,412,34
0.25,0.5,0.02857142857142857,0.05405405405405406,0.02616179001721175,0.9714315599905724,1,1,414,34
0.26,0.0,0.0,0.0,-0.002409638554216831,0.9714315599905724,0,1,414,35
0.27,0.0,0.0,0.0,-0.002409638554216831,1.0000029031747668,0,1,414,35
0.28,0.0,0.0,0.0,-0.002409638554216831,1.0000029031747668,0,1,414,35
0.29,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.3,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.31,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.32,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.33,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.34,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.35000000000000003,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.36,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.37,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.38,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.39,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.4,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.41000000000000003,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.42,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.43,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.44,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.45,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.46,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.47000000000000003,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.48,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.49,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.5,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.51,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.52,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.53,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.54,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.55,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.56,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.5700000000000001,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.58,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.59,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.6,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.61,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.62,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.63,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.64,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.65,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.66,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.67,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.68,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.6900000000000001,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.7000000000000001,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.71,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.72,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.73,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.74,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.75,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.76,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.77,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.78,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.79,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.8,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.81,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.8200000000000001,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.8300000000000001,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.84,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.85,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.86,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.87,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.88,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.89,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.9,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.91,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.92,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.93,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.9400000000000001,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.9500000000000001,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.96,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.97,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.98,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
0.99,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
1.0,0.0,0.0,0.0,0.0,1.0000029031747668,0,0,415,35
